#id,NAME,pNAME,PSRJ,pPSRJ,RAJ,eRAJ,pRAJ,DECJ,eDECJ,pDECJ,PMRA,ePMRA,pPMRA,PMDEC,ePMDEC,pPMDEC,PX,ePX,pPX,POSEPOCH,pPOSEPOCH,RAJD,DECJD,P0,eP0,pP0,P1,eP1,pP1,F0,eF0,pF0,F1,eF1,pF1,F2,eF2,pF3,F3,eF3,pF3,PEPOCH,pPEPOCH,DM,eDM,pDM,DM1,eDM1,pDM1,W50,eW50,pW50,W10,eW10,pW10,S400,eS400,pS400,S1400,eS1400,pS1400,DMEPOCH,pDMEPOCH,BINARY,pBINARY,DIST,DIST_DM,pDIST_DM
#,,,,,(hms),,,(dms),,,(mas/yr),,,(mas/yr),,,(mas),,,(MJD),,(deg),(deg),(s),,,,,,(Hz),,,(s^-2),,,(s^-3),,,(s^-4),,,(MJD),,(cm^-3pc),,,(cm^-3pc/yr),,,(ms),,,(ms),,,(mJy),,,(mJy),,,(MJD),,(type),,(kpc),(kpc),
22,B1727-47,lvw68,J1731-4744,lvw68,17:31:42.103,0.005,wmp+00,-47:44:34.56,0.14,wmp+00,73,5,syk+17,-127,13,syk+17,*,0,*,50059,wmp+00,262.92543,-47.74293,0.82982878524,5E-11,wmp+00,1.63626E-13,4E-18,wmp+00,1.20506786194,6E-11,wmp+00,-2.37616E-13,5E-18,wmp+00,5.6E-24,1.3E-24,wmp+00,*,0,*,50939,wmp+00,123.056,0.004,pkj+13,*,0,*,20,0,mhma78,32,0,mhma78,190,0,mlt+78,12,0,am76,55000,pkj+13,*,*,4.09,4.09,ymw17
23,B1859+03,dlp70,J1901+0331,dlp70,19:01:31.781,0.002,lwy+16,+03:31:05.97,0.07,lwy+16,-7,15,lwy+16,34,31,lwy+16,*,0,*,54336,lwy+16,285.38242,3.51833,0.65545023949,4E-11,hlk+04,7.4593E-15,4E-19,hlk+04,1.52566882999,9E-11,hlk+04,-1.73627E-14,7E-19,hlk+04,3.24E-25,1.6E-26,hlk+04,*,0,*,50027,hlk+04,402.08,0.012,hlk+04,*,0,*,11,0,hfs+04,36,0,hfs+04,165,10,lylg95,4.2,0.4,hfs+04,50027,*,*,*,7,6.06,ymw17
24,B1818-04,vlw69,J1820-0427,vlw69,18:20:52.607,0.0021,hlk+04,-04:27:38.12,0.11,hlk+04,*,0,*,*,0,*,*,0,*,46634,hlk+04,275.2192,-4.46059,0.598075929665,1.5E-11,hlk+04,6.33137E-15,4E-20,hlk+04,1.67202850073,4E-11,hlk+04,-1.770049E-14,1E-19,hlk+04,3.57E-26,1E-27,hlk+04,*,0,*,46634,hlk+04,84.435,0.017,hlk+04,*,0,*,11,0,hfs+04,20,0,hfs+04,157,6,lylg95,6.1,0.6,hfs+04,46634,*,*,*,0.3,2.92,ymw17
25,B1154-62,lvw69b,J1157-6224,lvw69b,11:57:15.240,0.016,smd93,-62:24:50.87,0.13,smd93,*,0,*,*,0,*,*,0,*,46901,smd93,179.3135,-62.41413,0.40052204834,4E-12,smd93,3.9313E-15,3E-19,smd93,2.49674145068,3E-11,smd93,-2.45066E-14,1.9E-18,smd93,*,0,*,*,0,*,46800,smd93,325.2,0.5,nmc81,*,0,*,13,0,hfs+04,47,0,hfs+04,145,0,tml93,5.9,0.6,hfs+04,46800,*,*,*,4,4.77,ymw17
26,B1946+35,dl70,J1948+3540,dl70,19:48:25.0067,0.001,hlk+04,+35:40:11.057,0.015,hlk+04,-12.6,0.6,bfg+03,0.7,0.6,bfg+03,*,0,*,49449,hlk+04,297.10419,35.66974,0.717311174076,4E-12,hlk+04,7.0612E-15,3E-20,hlk+04,1.394095109822,6E-12,hlk+04,-1.372346E-14,5E-20,hlk+04,7.9E-27,8E-28,hlk+04,*,0,*,49449,hlk+04,129.36748,0.00078,bkk+16,*,0,*,19.3,0,lylg95,50.3,0,lylg95,145,9,lylg95,8.3,0.9,lylg95,56748,bkk+16,*,*,7.65,7.65,ymw17
27,B1323-62,kac+73,J1327-6222,kac+73,13:27:17.4,0.1,dmk+93,-62:22:44.6,0.6,dmk+93,*,0,*,*,0,*,*,0,*,47781.81,*,201.8225,-62.37906,0.5299131921,1E-11,dmk+93,1.88787E-14,7E-19,dmk+93,1.88710153834,4E-11,dmk+93,-6.723E-14,3E-18,dmk+93,*,0,*,*,0,*,47781.81,dmk+93,318.8,0.06,hfs+04,*,0,*,11,0,hfs+04,19,0,hfs+04,135,0,tml93,16,1.6,hfs+04,47781.81,*,*,*,4,6.51,ymw17
28,B1857-26,vl70,J1900-2600,vl70,19:00:47.582,0.004,hlk+04,-26:00:43.8,0.5,hlk+04,-19.9,0.3,fgbc99,-47.3,0.9,fgbc99,0.5,0.6,fgbc99,48891,hlk+04,285.19826,-26.01217,0.6122092044383,7E-13,hlk+04,2.04534E-16,5E-21,hlk+04,1.6334285612669,1.7E-12,hlk+04,-5.45714E-16,1.2E-20,hlk+04,-2.76E-27,1.4E-28,hlk+04,*,0,*,48891,hlk+04,37.994,0.005,hlk+04,*,0,*,34.1,0,lylg95,67.6,0,lylg95,131,12,lylg95,13,1,lylg95,48891,*,*,*,0.7,1.24,ymw17
29,B1426-66,lvw68,J1430-6623,lvw68,14:30:40.872,0.018,smd93,-66:23:05.04,0.14,smd93,-31,5,bmk+90b,-21,3,bmk+90b,*,0,*,46916,smd93,217.6703,-66.38473,0.785440757324,8E-12,smd93,2.7695E-15,5E-19,smd93,1.273170497807,1.3E-11,smd93,-4.4893E-15,9E-19,smd93,*,0,*,*,0,*,46800,smd93,65.3,0.1,mka+73,*,0,*,18,0,hfs+04,28,0,hfs+04,130,0,tml93,8,0.8,hfs+04,46800,*,*,*,1.33,1.33,ymw17
30,B1323-58,mlt+78,J1326-5859,mlt+78,13:26:58.27,0.04,dmk+93,-58:59:29.1,0.4,dmk+93,*,0,*,*,0,*,*,0,*,47781.79,*,201.74279,-58.99142,0.47799086689,3E-11,dmk+93,3.238E-15,1E-18,dmk+93,2.09209018261,1.4E-10,dmk+93,-1.4172E-14,5E-18,dmk+93,*,0,*,*,0,*,47781.786,dmk+93,287.3,0.15,hfs+04,*,0,*,7.6,0,hfs+04,23,0,hfs+04,120,0,tml93,9.9,1,hfs+04,47781.79,*,*,*,3,10.67,ymw17
31,B1911-04,lvw69b,J1913-0440,lvw69b,19:13:54.1735,0.0016,hlk+04,-04:40:47.68,0.07,hlk+04,7,13,hla93,-5,9,hla93,*,0,*,46634,hlk+04,288.47572,-4.67991,0.825935803096,9E-12,hlk+04,4.06801E-15,3E-20,hlk+04,1.21074785262,1.3E-11,hlk+04,-5.96334E-15,4E-20,hlk+04,1.61E-26,5E-28,hlk+04,*,0,*,46634,hlk+04,89.385,0.01,hlk+04,*,0,*,7.5,0,lylg95,14.9,0,lylg95,118,9,lylg95,4.4,0.5,lylg95,46634,*,*,*,4.04,4.04,ymw17
32,B2045-16,tv68,J2048-1616,tv68,20:48:35.640637,4E-05,dtbr09,-16:16:44.55350,0.00015,dtbr09,113.16,0.02,cbv+09,-4.6,0.28,cbv+09,1.05,0.03,cbv+09,54100,dtbr09,312.1485,-16.27904,1.961572303613,1.2E-11,hlk+04,1.095816E-14,4E-20,hlk+04,0.509795126164,3E-12,hlk+04,-2.847929E-15,8E-21,hlk+04,-9.2E-28,8E-29,hlk+04,*,0,*,46423,hlk+04,11.456,0.005,hlk+04,*,0,*,84.2,0,lylg95,99.3,0,lylg95,116,26,lylg95,13,4,lylg95,46423,*,*,*,0.95,0.77,ymw17
33,B1508+55,htg+68,J1509+5531,htg+68,15:09:25.6298,0.0001,cbv+09,+55:31:32.394,0.002,cbv+09,-73.64,0.05,cbv+09,-62.65,0.09,cbv+09,0.47,0.03,cbv+09,52275,cbv+09,227.35679,55.52567,0.739681922904,4E-12,hlk+04,4.99821E-15,4E-20,hlk+04,1.35193245777,7E-12,hlk+04,-9.13534E-15,7E-20,hlk+04,5.16E-26,1.5E-27,hlk+04,*,0,*,49904,hlk+04,19.6191,0.0003,srb+15,*,0,*,10.9,0,lylg95,26.3,0,lylg95,114,5,lylg95,8,1,lylg95,56284,srb+15,*,*,2.1,2.07,ymw17
34,J2238+6021,hrk+08,J2238+6021,hrk+08,22:38,0,hrk+08,+60:21,0,hrk+08,*,0,*,*,0,*,*,0,*,54100,*,339.5,60.35,3.07,0,hrk+08,*,0,*,0.325733,0,hrk+08,*,0,*,*,0,*,*,0,*,54100,*,182,0,hrk+08,*,0,*,*,0,*,*,0,*,111.1,0,slr+14,*,0,*,54100,*,*,*,3.63,3.63,ymw17
35,B2217+47,th69,J2219+4754,th69,22:19:48.139,0.003,hlk+04,+47:54:53.93,0.03,hlk+04,-12,8,las82,-30,6,las82,*,0,*,46599,hlk+04,334.95058,47.91498,0.5384688219194,1.2E-12,hlk+04,2.765209E-15,5E-21,hlk+04,1.857117736985,4E-12,hlk+04,-9.536891E-15,1.4E-20,hlk+04,-3.18E-27,1.3E-28,hlk+04,*,0,*,46599,hlk+04,43.4975,0.0005,srb+15,*,0,*,7.5,0,lylg95,13.1,0,lylg95,111,12,lylg95,3,0,fgl+92,56842,srb+15,*,*,2.39,2.39,ymw17
36,B1237+25,lan69,J1239+2453,lan69,12:39:40.4614,0.0012,hlk+04,+24:53:49.29,0.02,hlk+04,-104.5,1.1,bfg+03,49.4,1.4,bfg+03,1.16,0.08,bbgt02,46531,hlk+04,189.91859,24.89702,1.3824491030388,1E-12,hlk+04,9.60049E-16,3E-21,hlk+04,0.723353935998,5E-13,hlk+04,-5.023367E-16,1.5E-21,hlk+04,-5.08E-28,1.5E-29,hlk+04,*,0,*,46531,hlk+04,9.25159,0.00053,bkk+16,*,0,*,51.1,0,lylg95,60.6,0,lylg95,110,33,lylg95,10,2,lylg95,56689,bkk+16,*,*,0.84,0.83,ymw17
37,B1240-64,lvw69a,J1243-6423,lvw69a,12:43:17.158,0.02,smd93,-64:23:23.85,0.13,smd93,*,0,*,*,0,*,*,0,*,46968,smd93,190.82149,-64.38996,0.388480921041,5E-12,smd93,4.5006E-15,2E-19,smd93,2.57412898765,4E-11,smd93,-2.98216E-14,1.4E-18,smd93,*,0,*,*,0,*,46800,smd93,297.25,0.08,hfs+04,*,0,*,6.6,0,hfs+04,11,0,hfs+04,110,0,mlt+78,13,1.3,hfs+04,46800,*,*,*,2,9.41,ymw17
38,B1556-44,vl72,J1559-4438,vl72,15:59:41.526126,8E-06,dtbr09,-44:38:45.901778,3.5E-05,dtbr09,1.52,0.14,dtbr09,13.15,0.05,dtbr09,0.384,0.081,dtbr09,54100,dtbr09,239.92303,-44.64608,0.2570560976508,1.1E-12,smd93,1.01916E-15,8E-20,smd93,3.890201435169,1.7E-11,smd93,-1.54236E-14,1.3E-18,smd93,*,0,*,*,0,*,46800,smd93,56.1,0.4,dmk+93,*,0,*,6,0,mhma78,14,0,mhma78,110,0,mlt+78,40,0,fgl+92,46800,*,*,*,2.3,1.48,ymw17
39,B1356-60,mlt+78,J1359-6038,mlt+78,13:59:58.22,0.08,nmc81,-60:38:08.0,0.8,nmc81,*,0,*,*,0,*,*,0,*,43555.72,*,209.99258,-60.63556,0.12750077685,3E-11,nmc81,6.3385E-15,1.3E-18,nmc81,7.8430894674,1.9E-09,nmc81,-3.8991E-13,8E-17,nmc81,*,0,*,*,0,*,43555.7229,nmc81,293.736,0.003,pkj+13,*,0,*,3.9,0,hfs+04,7.4,0,hfs+04,105,0,tml93,7.6,0.8,hfs+04,55000,pkj+13,*,*,5,25,ymw16
40,B2154+40,fss73,J2157+4017,fss73,21:57:01.8495,0.0001,cbv+09,+40:17:45.986,0.002,cbv+09,16.13,0.1,cbv+09,4.12,0.12,cbv+09,0.28,0.06,cbv+09,52275,cbv+09,329.25771,40.29611,1.525265633965,1.2E-11,hlk+04,3.43256E-15,7E-20,hlk+04,0.655623504347,5E-12,hlk+04,-1.47546E-15,3E-20,hlk+04,-4.22E-26,6E-28,hlk+04,*,0,*,49277,hlk+04,71.1239,0.0022,bkk+16,*,0,*,38.6,0,lylg95,114.2,0,lylg95,105,7,lylg95,17,2,lylg95,56787,bkk+16,*,*,2.9,4.78,ymw17
41,B0818-13,vl70,J0820-1350,vl70,08:20:26.3817,0.0001,cbv+09,-13:50:55.859,0.002,cbv+09,21.64,0.09,cbv+09,-39.44,0.05,cbv+09,0.51,0.04,cbv+09,52275,cbv+09,125.10992,-13.84885,1.2381295438682,8E-13,hlk+04,2.105178E-15,7E-21,hlk+04,0.8076699283629,5E-13,hlk+04,-1.373272E-15,4E-21,hlk+04,1.8E-28,5E-29,hlk+04,*,0,*,48904,hlk+04,40.938,0.003,hlk+04,*,0,*,22.1,0,lylg95,35.6,0,lylg95,102,6,lylg95,7,1,lylg95,48904,*,*,*,1.9,2.32,ymw17
